"Year","Industry","A","L","E","NI","CFO","Lagged.Assets","Rev","Lagged.Rev","Rec","Lagged.Rec","PPE","TA","X.Rev","X.Rec","X..Revit....Recit.","TA_scaled","inv_Asset.x","rev_rec.x","ppe_scaled.x","BZ","Gwth","Lev","TANG","Years.of.Est","Age","SIG","AudFee","Audit.Firm.Tenure","AudTenure","AudRotation","(Intercept)","inv_Asset.y","rev_rec.y","ppe_scaled.y","NDA","DA.x","ADA.x","DA.y","ADA.y"
2017,"Sterling Bank",1068798000,965905000,102893000,8455000,-46542000,830802224,133022000,111238000,598073000,468250000,16451000,-38087000,21784000,129823000,-108039000,-0.0458436423251558,1.20365590162407e-09,-0.130041779955563,0.0198013432376175,18.5271826080242,0.195832359445513,0.90373017165077,0.017507028225406,59,4.07753744390572,15.5841,20.7929793820191,8,2.07944154167984,1,-0.00750755035267754,6408848.80361597,0.0700318565088452,-2.90674751122471,0.00979540737534736,-0.0556390497005032,0.0556390497005032,-0.0556390497005032,0.0556390497005032
2018,"Sterling Bank",1085876000,987867000,97800000,9468000,35056000,1068798000,147791000,133022000,621017000,598073000,16942000,-25588000,14769000,22944000,-8175000,-0.0239409130630858,9.35630493320534e-10,-0.00764877928289536,0.0158514518178365,18.7060250860406,0.111026747455308,0.909741996323705,0.01534320523857,60,4.0943445622221,5.6795,20.821227951806,9,2.19722457733622,1,-0.00750755035267754,6408848.80361597,0.0700318565088452,-2.90674751122471,-0.00719777800342589,-0.0167431350596599,0.0167431350596599,-0.0167431350596599,0.0167431350596599
2019,"Sterling Bank",1165509000,1046181000,119328000,10163000,114414000,1085876000,147439000,147791000,618732000,621017000,18476000,-104251000,-352000,-2285000,-2637000,-0.096006358000361,9.20915463644099e-10,-0.00242845407762949,0.0170148341062884,18.8113096715255,-0.00238174178400579,0.89761726421675,0.0153610276710662,61,4.11087386417331,5.6795,20.8910531142966,10,2.30258509299405,1,-0.00750755035267754,6408848.80361597,0.0700318565088452,-2.90674751122471,-0.00721214838380586,-0.0887942096165551,0.0887942096165551,-0.0887942096165551,0.0887942096165551
2020,"Sterling Bank",1281830000,1146440000,135390000,11110000,4406000,1165509000,133413000,147439000,596827000,618732000,15956000,6704000,-14026000,-21905000,-35931000,0.0057519933351008,8.57994232562769e-10,-0.0308285907702128,0.0136901559747715,18.8089250888829,-0.0951308676808714,0.894377569568508,0.0156220802665122,62,4.12713438504509,5.6795,20.9849183096887,1,0,0,-0.00750755035267754,6408848.80361597,0.0700318565088452,-2.90674751122471,-0.00636972797318671,0.0121217213082875,0.0121217213082875,0.0121217213082875,0.0121217213082875
2021,"Sterling Bank",1611749000,1470733000,141016000,13403000,145027000,1281830000,144759000,133413000,711900000,596827000,16939000,-131624000,11346000,115073000,-103727000,-0.10268444333492,7.80134651240804e-10,-0.0809210269692549,0.013214700857368,18.7089601379721,0.085044186098806,0.912507468594676,0.0122825856859689,63,4.14313472639153,5.6795,21.2113113531179,2,0.693147180559945,0,-0.00750755035267754,6408848.80361597,0.0700318565088452,-2.90674751122471,-0.000784709428168935,-0.101899733906751,0.101899733906751,-0.101899733906751,0.101899733906751
2022,"Sterling Bank",1857992000,1703994000,153552000,19327000,70837000,1611749000,144448000,144759000,100441000,711900000,17913000,-51510000,-311000,-611459000,-611770000,-0.031959070550067,6.20444002136809e-10,-0.379569027187236,0.0111140134102767,18.7905808486503,-0.00214839837246734,0.917115897162098,0.0103975805476423,64,4.15888308335967,5.6795,21.3427621716237,3,1.09861228866811,0,-0.00750755035267754,6408848.80361597,0.0700318565088452,-2.90674751122471,0.136688617341271,-0.168647687891338,0.168647687891338,-0.168647687891338,0.168647687891338
2013,"UBA",2217417000,1957879000,259538000,46483000,136105000,1933065000,214273,177429,823193,598592,67661,-89622000,36844,224601,-187757,-0.0463626417114789,5.17313178811887e-10,-9.71291705141834e-05,3.50019269915911e-05,12.0863258078763,0.207654892943093,0.882954807327625,0.0285391947003667,64,4.15888308335967,1.1316,21.6949140731071,4,1.38629436111989,0,-0.198345334783103,466877470.864907,290.150258992775,-788.146369074597,-0.198345324123892,0.151982682412413,0.151982682412413,0.151982682412413,0.151982682412413
2014,"UBA",2338858000,2056925000,281933000,40083000,-92619000,2217417000,314844,214273,933578,823193,81050,-52536000,100571,110385,-9814,-0.023692431328884,4.50975166150526e-10,-4.42587028060126e-06,3.65515372165001e-05,12.2750061819235,0.469359181978131,0.879456982852315,0.0324034876182457,65,4.17438726989564,1.1316,21.7394283287805,5,1.6094379124341,0,-0.198345334783103,466877470.864907,290.150258992775,-788.146369074597,-0.1983453334275,0.174652902098616,0.174652902098616,0.174652902098616,0.174652902098616
2015,"UBA",2216337000,1878106000,338231000,47642000,58408000,2338858000,383647,314844,824153,933578,80145,-10766000,68803,-109425,-40622,-0.00460310117159742,4.27559090804145e-10,-1.7368305386646e-05,3.42667233324982e-05,12.6598325570416,0.218530446824459,0.84739189031271,0.032269232753353,66,4.18965474202643,1.1316,21.7358197489213,6,1.79175946922805,1,-0.198345334783103,466877470.864907,290.150258992775,-788.146369074597,-0.198345333307236,0.193742232135639,0.193742232135639,0.193742232135639,0.193742232135639
2016,"UBA",2539585000,2148685000,390900000,47541000,-213392000,2216337000,269895,383647,1193188,824153,80252,-165851000,-113752,369035,-482787,-0.0748311290205416,4.51194922071869e-10,-0.000217831042842311,3.62092948861116e-05,12.857478137948,-0.296501732060983,0.846077213402977,0.0268034824096083,67,4.20469261939097,1.1316,21.9773051334457,7,1.94591014905531,1,-0.198345334783103,466877470.864907,290.150258992775,-788.146369074597,-0.198345286021627,0.123514157001085,0.123514157001085,0.123514157001085,0.123514157001085
2017,"UBA",2931826000,2529311000,402515000,42438000,59151000,2539585000,316272,269895,1469512,1193188,89285,-16713000,46377,276324,-229947,-0.00658099650139688,3.93765123041757e-10,-9.05451087480829e-05,3.51573190107833e-05,12.5057882734547,0.171833490801979,0.862708428126362,0.0264496099495905,68,4.21950770517611,1.0682,22.1267795897197,8,2.07944154167984,1,-0.198345334783103,466877470.864907,290.150258992775,-788.146369074597,-0.198345325348649,0.191764328847252,0.191764328847252,0.191764328847252,0.191764328847252
